Start,Stop,Speaker
711.71721875,711.8015937499999,SPEAKER_00
711.8015937499999,712.27409375,SPEAKER_04
712.27409375,712.71284375,SPEAKER_00
712.71284375,712.7465937500001,SPEAKER_04
712.7465937500001,713.0334687500001,SPEAKER_00
713.0334687500001,713.3034687500001,SPEAKER_04
713.3034687500001,713.3203437500001,SPEAKER_00
713.3203437500001,713.42159375,SPEAKER_04
713.42159375,713.4384687500001,SPEAKER_01
713.4384687500001,722.97284375,SPEAKER_04
715.78409375,716.1047187500001,SPEAKER_01
720.0534687500001,720.5090937500001,SPEAKER_03
722.97284375,731.54534375,SPEAKER_03
723.4284687500001,723.64784375,SPEAKER_04
731.8659687500001,731.93346875,SPEAKER_03
732.6928437500001,733.38471875,SPEAKER_03
733.77284375,738.00846875,SPEAKER_03
738.41346875,743.72909375,SPEAKER_03
743.8472187500001,746.8003437500001,SPEAKER_03
747.52596875,749.93909375,SPEAKER_03
750.12471875,752.36909375,SPEAKER_03
752.75721875,759.1528437500001,SPEAKER_03
759.38909375,771.04971875,SPEAKER_04
766.6453437499999,768.92346875,SPEAKER_00
768.94034375,769.0247187500001,SPEAKER_00
771.30284375,771.9609687500001,SPEAKER_03
771.9778437500001,777.0234687500001,SPEAKER_03
776.6015937500001,776.82096875,SPEAKER_01
776.82096875,777.37784375,SPEAKER_04
777.0234687500001,778.49159375,SPEAKER_01
777.37784375,777.96846875,SPEAKER_03
777.96846875,779.4028437500001,SPEAKER_04
778.49159375,779.0990937500001,SPEAKER_00
779.0990937500001,779.31846875,SPEAKER_01
779.4028437500001,779.48721875,SPEAKER_03
779.48721875,779.5209687500001,SPEAKER_00
779.5209687500001,779.8247187500001,SPEAKER_01
779.8247187500001,788.1103437500001,SPEAKER_04
781.84971875,782.15346875,SPEAKER_00
788.88659375,792.10971875,SPEAKER_04
789.03846875,789.71346875,SPEAKER_03
789.71346875,789.73034375,SPEAKER_00
792.10971875,795.11346875,SPEAKER_03
